0.00126533  0.00324672
0.00666235  0.00754729
0.01635317  0.01182918
0.03030777  0.01607233
0.04848006  0.02026219
0.07080973  0.02438479
0.09722263  0.02842638
0.12763103  0.03237356
0.16193391  0.03621320
0.20001733  0.03993254
0.24175478  0.04351924
0.28700761  0.04696136
0.33562550  0.05024749
0.38744694  0.05336670
0.44229980  0.05630863
0.50000184  0.05906351
0.56036140  0.06162218
0.62317797  0.06397616
0.68824286  0.06611761
0.75533996  0.06803942
0.82424636  0.06973522
0.89473316  0.07119936
0.96656622  0.07242698
1.03950692  0.07341401
1.11331294  0.07415717
1.18773913  0.07465398
1.26253823  0.07490280
1.33746177  0.07490280
1.41226087  0.07465398
1.48668706  0.07415717
1.56049308  0.07341401
1.63343378  0.07242698
1.70526684  0.07119936
1.77575364  0.06973522
1.84466004  0.06803942
1.91175714  0.06611761
1.97682203  0.06397616
2.03963860  0.06162218
2.09999816  0.05906351
2.15770020  0.05630863
2.21255306  0.05336670
2.26437450  0.05024749
2.31299239  0.04696136
2.35824522  0.04351924
2.39998267  0.03993254
2.43806609  0.03621320
2.47236897  0.03237356
2.50277737  0.02842638
2.52919027  0.02438479
2.55151994  0.02026219
2.56969223  0.01607233
2.58364683  0.01182918
2.59333765  0.00754729
2.59873467  0.00324672
