# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.28700761 0.03030777  -2.29191159e+00  
0.28700761 0.04848006  -2.28929367e+00  
0.28700761 0.07080973  -2.28444846e+00  
0.28700761 0.09722263  -2.27645828e+00  
0.28700761 0.12763103  -2.26435006e+00  
0.28700761 0.16193391  -2.24715414e+00  
0.28700761 0.20001733  -2.22392382e+00  
0.28700761 0.24175478  -2.19368292e+00  
0.28700761 0.28700761  -2.15518571e+00  
0.28700761 0.33562550  -2.09090771e+00  
0.28700761 0.38744694  -2.01826807e+00  
0.28700761 0.44229980  -1.93900735e+00  
0.28700761 0.50000184  -1.85435904e+00  
0.28700761 0.56036140  -1.76536326e+00  
0.28700761 0.62317797  -1.67295700e+00  
0.28700761 0.68824286  -1.57798860e+00  
0.28700761 0.75533996  -1.48120532e+00  
0.28700761 0.82424636  -1.38324154e+00  
0.28700761 0.89473316  -1.28461812e+00  
0.28700761 0.96656622  -1.18575125e+00  
0.28700761 1.03950692  -1.08696613e+00  
0.28700761 1.11331294  -9.88513639e-01  
0.28700761 1.18773913  -8.90592620e-01  
0.28700761 1.26253823  -7.93382544e-01  
0.28700761 1.33746177  -6.97094419e-01  
0.28700761 1.41226087  -6.02050560e-01  
0.28700761 1.48668706  -5.08801780e-01  
0.28700761 1.56049308  -4.18273757e-01  
0.28700761 1.63343378  -3.31897228e-01  
0.28700761 1.70526684  -2.51633072e-01  
0.28700761 1.77575364  -1.79795527e-01  
0.28700761 1.84466004  -1.18644912e-01  
0.28700761 1.91175714  -6.98444119e-02  
0.28700761 1.97682203  -3.39718328e-02  
0.28700761 2.03963860  -1.02837314e-02  
0.28700761 2.09999816   3.15653855e-03  
0.28700761 2.15770020   9.01870001e-03  
0.28700761 2.21255306   1.00867106e-02  
0.28700761 2.26437450   8.71655353e-03  
0.28700761 2.31299239   6.54484440e-03  
0.28700761 2.35824522   4.47955788e-03  
0.28700761 2.39998267   2.87787950e-03  
0.28700761 2.43806609   1.77607528e-03  
0.28700761 2.47236897   1.07535998e-03  
0.28700761 2.50277737   6.51919175e-04  
0.28700761 2.52919027   4.03658209e-04  
0.28700761 2.55151994   2.60193590e-04  
0.28700761 2.56969223   1.77711613e-04  
0.28700761 2.58364683   1.30625035e-04  
0.28700761 2.59333765   1.04653041e-04  
0.28700761 2.59873467   9.22340231e-05  
0.33562550 0.00126533  -2.20694628e+00  
0.33562550 0.00666235  -2.20689416e+00  
0.33562550 0.01635317  -2.20653376e+00  
0.33562550 0.03030777  -2.20554217e+00  
0.33562550 0.04848006  -2.20336223e+00  
0.33562550 0.07080973  -2.19932516e+00  
0.33562550 0.09722263  -2.19266055e+00  
0.33562550 0.12763103  -2.18254329e+00  
0.33562550 0.16193391  -2.16813940e+00  
0.33562550 0.20001733  -2.14862652e+00  
0.33562550 0.24175478  -2.12317825e+00  
0.33562550 0.28700761  -2.09090771e+00  
0.33562550 0.33562550  -2.05064738e+00  
0.33562550 0.38744694  -1.98443182e+00  
0.33562550 0.44229980  -1.91044352e+00  
0.33562550 0.50000184  -1.83029453e+00  
0.33562550 0.56036140  -1.74514592e+00  
0.33562550 0.62317797  -1.65599835e+00  
0.33562550 0.68824286  -1.56375861e+00  
0.33562550 0.75533996  -1.46924133e+00  
0.33562550 0.82424636  -1.37315496e+00  
0.33562550 0.89473316  -1.27609339e+00  
0.33562550 0.96656622  -1.17853830e+00  
0.33562550 1.03950692  -1.08086966e+00  
0.33562550 1.11331294  -9.83381822e-01  
0.33562550 1.18773913  -8.86306259e-01  
0.33562550 1.26253823  -7.89845352e-01  
0.33562550 1.33746177  -6.94225160e-01  
0.33562550 1.41226087  -5.99777321e-01  
0.33562550 1.48668706  -5.07057918e-01  
0.33562550 1.56049308  -4.16994690e-01  
0.33562550 1.63343378  -3.31017795e-01  
0.33562550 1.70526684  -2.51085941e-01  
0.33562550 1.77575364  -1.79511346e-01  
0.33562550 1.84466004  -1.18554494e-01  
0.33562550 1.91175714  -6.98824979e-02  
0.33562550 1.97682203  -3.40814939e-02  
0.33562550 2.03963860  -1.04201422e-02  
0.33562550 2.09999816   3.02409966e-03  
0.33562550 2.15770020   8.90725798e-03  
0.33562550 2.21255306   1.00021808e-02  
0.33562550 2.26437450   8.65752100e-03  
0.33562550 2.31299239   6.50630161e-03  
0.33562550 2.35824522   4.45570249e-03  
0.33562550 2.39998267   2.86368193e-03  
0.33562550 2.43806609   1.76782420e-03  
0.33562550 2.47236897   1.07059887e-03  
0.33562550 2.50277737   6.49142830e-04  
0.33562550 2.52919027   4.01992172e-04  
0.33562550 2.55151994   2.59146177e-04  
0.33562550 2.56969223   1.77009992e-04  
0.33562550 2.58364683   1.30116693e-04  
0.33562550 2.59333765   1.04249728e-04  
0.33562550 2.59873467   9.18804696e-05  
0.38744694 0.00126533  -2.11542790e+00  
0.38744694 0.00666235  -2.11538691e+00  
0.38744694 0.01635317  -2.11508569e+00  
0.38744694 0.03030777  -2.11426531e+00  
0.38744694 0.04848006  -2.11246048e+00  
0.38744694 0.07080973  -2.10911559e+00  
0.38744694 0.09722263  -2.10358679e+00  
0.38744694 0.12763103  -2.09517674e+00  
0.38744694 0.16193391  -2.08316838e+00  
0.38744694 0.20001733  -2.06684040e+00  
0.38744694 0.24175478  -2.04546067e+00  
0.38744694 0.28700761  -2.01826807e+00  
0.38744694 0.33562550  -1.98443182e+00  
0.38744694 0.38744694  -1.94286898e+00  
0.38744694 0.44229980  -1.87541500e+00  
0.38744694 0.50000184  -1.80066385e+00  
0.38744694 0.56036140  -1.72013075e+00  
0.38744694 0.62317797  -1.63492726e+00  
0.38744694 0.68824286  -1.54602580e+00  
0.38744694 0.75533996  -1.45430777e+00  
0.38744694 0.82424636  -1.36055762e+00  
0.38744694 0.89473316  -1.26544854e+00  
0.38744694 0.96656622  -1.16953665e+00  
0.38744694 1.03950692  -1.07326649e+00  
0.38744694 1.11331294  -9.76985297e-01  
0.38744694 1.18773913  -8.80965364e-01  
0.38744694 1.26253823  -7.85438385e-01  
0.38744694 1.33746177  -6.90649827e-01  
0.38744694 1.41226087  -5.96943356e-01  
0.38744694 1.48668706  -5.04881951e-01  
0.38744694 1.56049308  -4.15396295e-01  
0.38744694 1.63343378  -3.29916139e-01  
0.38744694 1.70526684  -2.50397613e-01  
0.38744694 1.77575364  -1.79150405e-01  
0.38744694 1.84466004  -1.18435149e-01  
0.38744694 1.91175714  -6.99238158e-02  
0.38744694 1.97682203  -3.42128427e-02  
0.38744694 2.03963860  -1.05858377e-02  
0.38744694 2.09999816   2.86232321e-03  
0.38744694 2.15770020   8.77072183e-03  
0.38744694 2.21255306   9.89842864e-03  
0.38744694 2.26437450   8.58497766e-03  
0.38744694 2.31299239   6.45889778e-03  
0.38744694 2.35824522   4.42634448e-03  
0.38744694 2.39998267   2.84620110e-03  
0.38744694 2.43806609   1.75766123e-03  
0.38744694 2.47236897   1.06473283e-03  
0.38744694 2.50277737   6.45721381e-04  
0.38744694 2.52919027   3.99938663e-04  
0.38744694 2.55151994   2.57854997e-04  
0.38744694 2.56969223   1.76144998e-04  
0.38744694 2.58364683   1.29489941e-04  
0.38744694 2.59333765   1.03752449e-04  
0.38744694 2.59873467   9.14445324e-05  
0.44229980 0.00126533  -2.02008969e+00  
0.44229980 0.00666235  -2.02005806e+00  
0.44229980 0.01635317  -2.01980684e+00  
0.44229980 0.03030777  -2.01913087e+00  
0.44229980 0.04848006  -2.01764259e+00  
0.44229980 0.07080973  -2.01488228e+00  
0.44229980 0.09722263  -2.01031421e+00  
0.44229980 0.12763103  -2.00335194e+00  
0.44229980 0.16193391  -1.99338235e+00  
0.44229980 0.20001733  -1.97977532e+00  
0.44229980 0.24175478  -1.96187819e+00  
0.44229980 0.28700761  -1.93900735e+00  
0.44229980 0.33562550  -1.91044352e+00  
0.44229980 0.38744694  -1.87541500e+00  
0.44229980 0.44229980  -1.83293195e+00  
0.44229980 0.50000184  -1.76476083e+00  
0.44229980 0.56036140  -1.68969490e+00  
0.44229980 0.62317797  -1.60917461e+00  
0.44229980 0.68824286  -1.52427728e+00  
0.44229980 0.75533996  -1.43595374e+00  
0.44229980 0.82424636  -1.34506172e+00  
0.44229980 0.89473316  -1.25235511e+00  
0.44229980 0.96656622  -1.15847095e+00  
0.44229980 1.03950692  -1.06392758e+00  
0.44229980 1.11331294  -9.69134632e-01  
0.44229980 1.18773913  -8.74413875e-01  
0.44229980 1.26253823  -7.80033549e-01  
0.44229980 1.33746177  -6.86264117e-01  
0.44229980 1.41226087  -5.93465078e-01  
0.44229980 1.48668706  -5.02208487e-01  
0.44229980 1.56049308  -4.13428950e-01  
0.44229980 1.63343378  -3.28556017e-01  
0.44229980 1.70526684  -2.49543000e-01  
0.44229980 1.77575364  -1.78696716e-01  
0.44229980 1.84466004  -1.18277984e-01  
0.44229980 1.91175714  -6.99645736e-02  
0.44229980 1.97682203  -3.43653470e-02  
0.44229980 2.03963860  -1.07820433e-02  
0.44229980 2.09999816   2.66929659e-03  
0.44229980 2.15770020   8.60715269e-03  
0.44229980 2.21255306   9.77382344e-03  
0.44229980 2.26437450   8.49770748e-03  
0.44229980 2.31299239   6.40180346e-03  
0.44229980 2.35824522   4.39095511e-03  
0.44229980 2.39998267   2.82511593e-03  
0.44229980 2.43806609   1.74539708e-03  
0.44229980 2.47236897   1.05765149e-03  
0.44229980 2.50277737   6.41589954e-04  
0.44229980 2.52919027   3.97458500e-04  
0.44229980 2.55151994   2.56295290e-04  
0.44229980 2.56969223   1.75099979e-04  
0.44229980 2.58364683   1.28732678e-04  
0.44229980 2.59333765   1.03151583e-04  
0.44229980 2.59873467   9.09177684e-05  
0.50000184 0.00126533  -1.92183300e+00  
0.50000184 0.00666235  -1.92180911e+00  
0.50000184 0.01635317  -1.92159949e+00  
0.50000184 0.03030777  -1.92104343e+00  
0.50000184 0.04848006  -1.91981813e+00  
0.50000184 0.07080973  -1.91754405e+00  
0.50000184 0.09722263  -1.91377676e+00  
0.50000184 0.12763103  -1.90802538e+00  
0.50000184 0.16193391  -1.89976942e+00  
0.50000184 0.20001733  -1.88846378e+00  
0.50000184 0.24175478  -1.87353198e+00  
0.50000184 0.28700761  -1.85435904e+00  
0.50000184 0.33562550  -1.83029453e+00  
0.50000184 0.38744694  -1.80066385e+00  
0.50000184 0.44229980  -1.76476083e+00  
0.50000184 0.50000184  -1.72168405e+00  
0.50000184 0.56036140  -1.65319964e+00  
0.50000184 0.62317797  -1.57817605e+00  
0.50000184 0.68824286  -1.49799801e+00  
0.50000184 0.75533996  -1.41371728e+00  
0.50000184 0.82424636  -1.32626387e+00  
0.50000184 0.89473316  -1.23646893e+00  
0.50000184 0.96656622  -1.14505250e+00  
0.50000184 1.03950692  -1.05261360e+00  
0.50000184 1.11331294  -9.59633117e-01  
0.50000184 1.18773913  -8.66490998e-01  
0.50000184 1.26253823  -7.73499955e-01  
0.50000184 1.33746177  -6.80962189e-01  
0.50000184 1.41226087  -5.89258023e-01  
0.50000184 1.48668706  -4.98971532e-01  
0.50000184 1.56049308  -4.11042516e-01  
0.50000184 1.63343378  -3.26900668e-01  
0.50000184 1.70526684  -2.48496437e-01  
0.50000184 1.77575364  -1.78133617e-01  
0.50000184 1.84466004  -1.18073353e-01  
0.50000184 1.91175714  -7.00002088e-02  
0.50000184 1.97682203  -3.45377576e-02  
0.50000184 2.03963860  -1.10093680e-02  
0.50000184 2.09999816   2.44360391e-03  
0.50000184 2.15770020   8.41498937e-03  
0.50000184 2.21255306   9.62700532e-03  
0.50000184 2.26437450   8.39467731e-03  
0.50000184 2.31299239   6.33430599e-03  
0.50000184 2.35824522   4.34907674e-03  
0.50000184 2.39998267   2.80014717e-03  
0.50000184 2.43806609   1.73086664e-03  
0.50000184 2.47236897   1.04925837e-03  
0.50000184 2.50277737   6.36691763e-04  
0.50000184 2.52919027   3.94517365e-04  
0.50000184 2.55151994   2.54445362e-04  
0.50000184 2.56969223   1.73860342e-04  
0.50000184 2.58364683   1.27834298e-04  
0.50000184 2.59333765   1.02438699e-04  
0.50000184 2.59873467   9.02927790e-05  
0.56036140 0.00126533  -1.82144797e+00  
0.56036140 0.00666235  -1.82143036e+00  
0.56036140 0.01635317  -1.82125490e+00  
0.56036140 0.03030777  -1.82079708e+00  
0.56036140 0.04848006  -1.81978737e+00  
0.56036140 0.07080973  -1.81791234e+00  
0.56036140 0.09722263  -1.81480362e+00  
0.56036140 0.12763103  -1.81005146e+00  
0.56036140 0.16193391  -1.80321668e+00  
0.56036140 0.20001733  -1.79383247e+00  
0.56036140 0.24175478  -1.78139660e+00  
0.56036140 0.28700761  -1.76536326e+00  
0.56036140 0.33562550  -1.74514592e+00  
0.56036140 0.38744694  -1.72013075e+00  
0.56036140 0.44229980  -1.68969490e+00  
0.56036140 0.50000184  -1.65319964e+00  
0.56036140 0.56036140  -1.60982918e+00  
0.56036140 0.62317797  -1.54136084e+00  
0.56036140 0.68824286  -1.46668357e+00  
0.56036140 0.75533996  -1.38713843e+00  
0.56036140 0.82424636  -1.30375332e+00  
0.56036140 0.89473316  -1.21743406e+00  
0.56036140 0.96656622  -1.12898056e+00  
0.56036140 1.03950692  -1.03907500e+00  
0.56036140 1.11331294  -9.48276125e-01  
0.56036140 1.18773913  -8.57030363e-01  
0.56036140 1.26253823  -7.65703239e-01  
0.56036140 1.33746177  -6.74636255e-01  
0.56036140 1.41226087  -5.84236541e-01  
0.56036140 1.48668706  -4.95104072e-01  
0.56036140 1.56049308  -4.08185780e-01  
0.56036140 1.63343378  -3.24912206e-01  
0.56036140 1.70526684  -2.47231075e-01  
0.56036140 1.77575364  -1.77443159e-01  
0.56036140 1.84466004  -1.17810208e-01  
0.56036140 1.91175714  -7.00247375e-02  
0.56036140 1.97682203  -3.47275190e-02  
0.56036140 2.03963860  -1.12673232e-02  
0.56036140 2.09999816   2.18469136e-03  
0.56036140 2.15770020   8.19331370e-03  
0.56036140 2.21255306   9.45707118e-03  
0.56036140 2.26437450   8.27516167e-03  
0.56036140 2.31299239   6.25588879e-03  
0.56036140 2.35824522   4.30037067e-03  
0.56036140 2.39998267   2.77108506e-03  
0.56036140 2.43806609   1.71394453e-03  
0.56036140 2.47236897   1.03947967e-03  
0.56036140 2.50277737   6.30983158e-04  
0.56036140 2.52919027   3.91088792e-04  
0.56036140 2.55151994   2.52288452e-04  
0.56036140 2.56969223   1.72414801e-04  
0.56036140 2.58364683   1.26786596e-04  
0.56036140 2.59333765   1.01607271e-04  
0.56036140 2.59873467   8.95638368e-05  
0.62317797 0.00126533  -1.71961839e+00  
0.62317797 0.00666235  -1.71960582e+00  
0.62317797 0.01635317  -1.71945819e+00  
0.62317797 0.03030777  -1.71908016e+00  
0.62317797 0.04848006  -1.71824562e+00  
0.62317797 0.07080973  -1.71669512e+00  
0.62317797 0.09722263  -1.71412287e+00  
0.62317797 0.12763103  -1.71018691e+00  
0.62317797 0.16193391  -1.70451775e+00  
0.62317797 0.20001733  -1.69671857e+00  
0.62317797 0.24175478  -1.68635714e+00  
0.62317797 0.28700761  -1.67295700e+00  
0.62317797 0.33562550  -1.65599835e+00  
0.62317797 0.38744694  -1.63492726e+00  
0.62317797 0.44229980  -1.60917461e+00  
0.62317797 0.50000184  -1.57817605e+00  
0.62317797 0.56036140  -1.54136084e+00  
0.62317797 0.62317797  -1.49798863e+00  
0.62317797 0.68824286  -1.42982512e+00  
0.62317797 0.75533996  -1.35576863e+00  
0.62317797 0.82424636  -1.27712270e+00  
0.62317797 0.89473316  -1.19488962e+00  
0.62317797 0.96656622  -1.10994574e+00  
0.62317797 1.03950692  -1.02305336e+00  
0.62317797 1.11331294  -9.34851754e-01  
0.62317797 1.18773913  -8.45860516e-01  
0.62317797 1.26253823  -7.56506183e-01  
0.62317797 1.33746177  -6.67177444e-01  
0.62317797 1.41226087  -5.78314871e-01  
0.62317797 1.48668706  -4.90539199e-01  
0.62317797 1.56049308  -4.04807460e-01  
0.62317797 1.63343378  -3.22552425e-01  
0.62317797 1.70526684  -2.45719498e-01  
0.62317797 1.77575364  -1.76606529e-01  
0.62317797 1.84466004  -1.17476344e-01  
0.62317797 1.91175714  -7.00308403e-02  
0.62317797 1.97682203  -3.49307396e-02  
0.62317797 2.03963860  -1.15542317e-02  
0.62317797 2.09999816   1.89297680e-03  
0.62317797 2.15770020   7.94195301e-03  
0.62317797 2.21255306   9.26365864e-03  
0.62317797 2.26437450   8.13880536e-03  
0.62317797 2.31299239   6.16627475e-03  
0.62317797 2.35824522   4.24464535e-03  
0.62317797 2.39998267   2.73780677e-03  
0.62317797 2.43806609   1.69455559e-03  
0.62317797 2.47236897   1.02827043e-03  
0.62317797 2.50277737   6.24437263e-04  
0.62317797 2.52919027   3.87156388e-04  
0.62317797 2.55151994   2.49814144e-04  
0.62317797 2.56969223   1.70756331e-04  
0.62317797 2.58364683   1.25584461e-04  
0.62317797 2.59333765   1.00653234e-04  
0.62317797 2.59873467   8.87273745e-05  
0.68824286 0.00126533  -1.61692073e+00  
0.68824286 0.00666235  -1.61691215e+00  
0.68824286 0.01635317  -1.61678712e+00  
0.68824286 0.03030777  -1.61647360e+00  
0.68824286 0.04848006  -1.61578075e+00  
0.68824286 0.07080973  -1.61449292e+00  
0.68824286 0.09722263  -1.61235537e+00  
0.68824286 0.12763103  -1.60908205e+00  
0.68824286 0.16193391  -1.60436211e+00  
0.68824286 0.20001733  -1.59785936e+00  
0.68824286 0.24175478  -1.58920492e+00  
0.68824286 0.28700761  -1.57798860e+00  
0.68824286 0.33562550  -1.56375861e+00  
0.68824286 0.38744694  -1.54602580e+00  
0.68824286 0.44229980  -1.52427728e+00  
0.68824286 0.50000184  -1.49799801e+00  
0.68824286 0.56036140  -1.46668357e+00  
0.68824286 0.62317797  -1.42982512e+00  
0.68824286 0.68824286  -1.38674149e+00  
0.68824286 0.75533996  -1.31914970e+00  
0.68824286 0.82424636  -1.24597124e+00  
0.68824286 0.89473316  -1.16847464e+00  
0.68824286 0.96656622  -1.08763153e+00  
0.68824286 1.03950692  -1.00428042e+00  
0.68824286 1.11331294  -9.19138799e-01  
0.68824286 1.18773913  -8.32802810e-01  
0.68824286 1.26253823  -7.45766823e-01  
0.68824286 1.33746177  -6.58474302e-01  
0.68824286 1.41226087  -5.71406198e-01  
0.68824286 1.48668706  -4.85209742e-01  
0.68824286 1.56049308  -4.00856189e-01  
0.68824286 1.63343378  -3.19782856e-01  
0.68824286 1.70526684  -2.43933712e-01  
0.68824286 1.77575364  -1.75604014e-01  
0.68824286 1.84466004  -1.17058382e-01  
0.68824286 1.91175714  -7.00098485e-02  
0.68824286 1.97682203  -3.51421488e-02  
0.68824286 2.03963860  -1.18671459e-02  
0.68824286 2.09999816   1.56994561e-03  
0.68824286 2.15770020   7.66156425e-03  
0.68824286 2.21255306   9.04700735e-03  
0.68824286 2.26437450   7.98566408e-03  
0.68824286 2.31299239   6.06545217e-03  
0.68824286 2.35824522   4.18187275e-03  
0.68824286 2.39998267   2.70028669e-03  
0.68824286 2.43806609   1.67268114e-03  
0.68824286 2.47236897   1.01561834e-03  
0.68824286 2.50277737   6.17046285e-04  
0.68824286 2.52919027   3.82715238e-04  
0.68824286 2.55151994   2.47019255e-04  
0.68824286 2.56969223   1.68882766e-04  
0.68824286 2.58364683   1.24226311e-04  
0.68824286 2.59333765   9.95753305e-05  
0.68824286 2.59873467   8.77822865e-05  
0.75533996 0.00126533  -1.51382520e+00  
0.75533996 0.00666235  -1.51381973e+00  
0.75533996 0.01635317  -1.51371307e+00  
0.75533996 0.03030777  -1.51345163e+00  
0.75533996 0.04848006  -1.51287321e+00  
0.75533996 0.07080973  -1.51179761e+00  
0.75533996 0.09722263  -1.51001165e+00  
0.75533996 0.12763103  -1.50727509e+00  
0.75533996 0.16193391  -1.50332589e+00  
0.75533996 0.20001733  -1.49787946e+00  
0.75533996 0.24175478  -1.49062250e+00  
0.75533996 0.28700761  -1.48120532e+00  
0.75533996 0.33562550  -1.46924133e+00  
0.75533996 0.38744694  -1.45430777e+00  
0.75533996 0.44229980  -1.43595374e+00  
0.75533996 0.50000184  -1.41371728e+00  
0.75533996 0.56036140  -1.38713843e+00  
0.75533996 0.62317797  -1.35576863e+00  
0.75533996 0.68824286  -1.31914970e+00  
0.75533996 0.75533996  -1.27663968e+00  
0.75533996 0.82424636  -1.20987652e+00  
0.75533996 0.89473316  -1.13782364e+00  
0.75533996 0.96656622  -1.06171189e+00  
0.75533996 1.03950692  -9.82473377e-01  
0.75533996 1.11331294  -9.00900593e-01  
0.75533996 1.18773913  -8.17664983e-01  
0.75533996 1.26253823  -7.33332394e-01  
0.75533996 1.33746177  -6.48407411e-01  
0.75533996 1.41226087  -5.63418272e-01  
0.75533996 1.48668706  -4.79045042e-01  
0.75533996 1.56049308  -3.96278269e-01  
0.75533996 1.63343378  -3.16563150e-01  
0.75533996 1.70526684  -2.41843915e-01  
0.75533996 1.77575364  -1.74414093e-01  
0.75533996 1.84466004  -1.16541186e-01  
0.75533996 1.91175714  -6.99514341e-02  
0.75533996 1.97682203  -3.53549443e-02  
0.75533996 2.03963860  -1.22017656e-02  
0.75533996 2.09999816   1.21819859e-03  
0.75533996 2.15770020   7.35365437e-03  
0.75533996 2.21255306   8.80795834e-03  
0.75533996 2.26437450   7.81619329e-03  
0.75533996 2.31299239   5.95366224e-03  
0.75533996 2.35824522   4.11217878e-03  
0.75533996 2.39998267   2.65859021e-03  
0.75533996 2.43806609   1.64835537e-03  
0.75533996 2.47236897   1.00154159e-03  
0.75533996 2.50277737   6.08820239e-04  
0.75533996 2.52919027   3.77771119e-04  
0.75533996 2.55151994   2.43907328e-04  
0.75533996 2.56969223   1.66796445e-04  
0.75533996 2.58364683   1.22713826e-04  
0.75533996 2.59333765   9.83748864e-05  
0.75533996 2.59873467   8.67297345e-05  
0.82424636 0.00126533  -1.41070009e+00  
0.82424636 0.00666235  -1.41069703e+00  
0.82424636 0.01635317  -1.41060535e+00  
0.82424636 0.03030777  -1.41038604e+00  
0.82424636 0.04848006  -1.40990025e+00  
0.82424636 0.07080973  -1.40899655e+00  
0.82424636 0.09722263  -1.40749559e+00  
0.82424636 0.12763103  -1.40519485e+00  
0.82424636 0.16193391  -1.40187286e+00  
0.82424636 0.20001733  -1.39728871e+00  
0.82424636 0.24175478  -1.39117701e+00  
0.82424636 0.28700761  -1.38324154e+00  
0.82424636 0.33562550  -1.37315496e+00  
0.82424636 0.38744694  -1.36055762e+00  
0.82424636 0.44229980  -1.34506172e+00  
0.82424636 0.50000184  -1.32626387e+00  
0.82424636 0.56036140  -1.30375332e+00  
0.82424636 0.62317797  -1.27712270e+00  
0.82424636 0.68824286  -1.24597124e+00  
0.82424636 0.75533996  -1.20987652e+00  
0.82424636 0.82424636  -1.16821145e+00  
0.82424636 0.89473316  -1.10252916e+00  
0.82424636 0.96656622  -1.03183777e+00  
0.82424636 1.03950692  -9.57324170e-01  
0.82424636 1.11331294  -8.79872895e-01  
0.82424636 1.18773913  -8.00228254e-01  
0.82424636 1.26253823  -7.19026848e-01  
0.82424636 1.33746177  -6.36838090e-01  
0.82424636 1.41226087  -5.54243655e-01  
0.82424636 1.48668706  -4.71962921e-01  
0.82424636 1.56049308  -3.91011364e-01  
0.82424636 1.63343378  -3.12846293e-01  
0.82424636 1.70526684  -2.39414957e-01  
0.82424636 1.77575364  -1.73010921e-01  
0.82424636 1.84466004  -1.15906198e-01  
0.82424636 1.91175714  -6.98426295e-02  
0.82424636 1.97682203  -3.55603115e-02  
0.82424636 2.03963860  -1.25522755e-02  
0.82424636 2.09999816   8.41440751e-04  
0.82424636 2.15770020   7.02049155e-03  
0.82424636 2.21255306   8.54784481e-03  
0.82424636 2.26437450   7.63114897e-03  
0.82424636 2.31299239   5.83132202e-03  
0.82424636 2.35824522   4.03578944e-03  
0.82424636 2.39998267   2.61283874e-03  
0.82424636 2.43806609   1.62164356e-03  
0.82424636 2.47236897   9.86075725e-04  
0.82424636 2.50277737   5.99778961e-04  
0.82424636 2.52919027   3.72335552e-04  
0.82424636 2.55151994   2.40485435e-04  
0.82424636 2.56969223   1.64502022e-04  
0.82424636 2.58364683   1.21050340e-04  
0.82424636 2.59333765   9.70545276e-05  
0.82424636 2.59873467   8.55720114e-05  
0.89473316 0.00126533  -1.30782196e+00  
0.89473316 0.00666235  -1.30782076e+00  
0.89473316 0.01635317  -1.30774143e+00  
0.89473316 0.03030777  -1.30755656e+00  
0.89473316 0.04848006  -1.30714650e+00  
0.89473316 0.07080973  -1.30638341e+00  
0.89473316 0.09722263  -1.30511582e+00  
0.89473316 0.12763103  -1.30317239e+00  
0.89473316 0.16193391  -1.30036561e+00  
0.89473316 0.20001733  -1.29649150e+00  
0.89473316 0.24175478  -1.29132568e+00  
0.89473316 0.28700761  -1.28461812e+00  
0.89473316 0.33562550  -1.27609339e+00  
0.89473316 0.38744694  -1.26544854e+00  
0.89473316 0.44229980  -1.25235511e+00  
0.89473316 0.50000184  -1.23646893e+00  
0.89473316 0.56036140  -1.21743406e+00  
0.89473316 0.62317797  -1.19488962e+00  
0.89473316 0.68824286  -1.16847464e+00  
0.89473316 0.75533996  -1.13782364e+00  
0.89473316 0.82424636  -1.10252916e+00  
0.89473316 0.89473316  -1.06194867e+00  
0.89473316 0.96656622  -9.97590057e-01  
0.89473316 1.03950692  -9.28476087e-01  
0.89473316 1.11331294  -8.55743514e-01  
0.89473316 1.18773913  -7.80226260e-01  
0.89473316 1.26253823  -7.02629994e-01  
0.89473316 1.33746177  -6.23589017e-01  
0.89473316 1.41226087  -5.43742433e-01  
0.89473316 1.48668706  -4.63854750e-01  
0.89473316 1.56049308  -3.84972133e-01  
0.89473316 1.63343378  -3.08568901e-01  
0.89473316 1.70526684  -2.36599126e-01  
0.89473316 1.77575364  -1.71359198e-01  
0.89473316 1.84466004  -1.15127989e-01  
0.89473316 1.91175714  -6.96657086e-02  
0.89473316 1.97682203  -3.57463339e-02  
0.89473316 2.03963860  -1.29109715e-02  
0.89473316 2.09999816   4.44438087e-04  
0.89473316 2.15770020   6.66488004e-03  
0.89473316 2.21255306   8.26823078e-03  
0.89473316 2.26437450   7.43135953e-03  
0.89473316 2.31299239   5.69885131e-03  
0.89473316 2.35824522   3.95291058e-03  
0.89473316 2.39998267   2.56313127e-03  
0.89473316 2.43806609   1.59259305e-03  
0.89473316 2.47236897   9.69243581e-04  
0.89473316 2.50277737   5.89933761e-04  
0.89473316 2.52919027   3.66414388e-04  
0.89473316 2.55151994   2.36756797e-04  
0.89473316 2.56969223   1.62001426e-04  
0.89473316 2.58364683   1.19237128e-04  
0.89473316 2.59333765   9.56152012e-05  
0.89473316 2.59873467   8.43099168e-05  
0.96656622 0.00126533  -1.20539473e+00  
0.96656622 0.00666235  -1.20539497e+00  
0.96656622 0.01635317  -1.20532606e+00  
0.96656622 0.03030777  -1.20516991e+00  
0.96656622 0.04848006  -1.20482301e+00  
0.96656622 0.07080973  -1.20417723e+00  
0.96656622 0.09722263  -1.20310437e+00  
0.96656622 0.12763103  -1.20145928e+00  
0.96656622 0.16193391  -1.19908302e+00  
0.96656622 0.20001733  -1.19580284e+00  
0.96656622 0.24175478  -1.19142914e+00  
0.96656622 0.28700761  -1.18575125e+00  
0.96656622 0.33562550  -1.17853830e+00  
0.96656622 0.38744694  -1.16953665e+00  
0.96656622 0.44229980  -1.15847095e+00  
0.96656622 0.50000184  -1.14505250e+00  
0.96656622 0.56036140  -1.12898056e+00  
0.96656622 0.62317797  -1.10994574e+00  
0.96656622 0.68824286  -1.08763153e+00  
0.96656622 0.75533996  -1.06171189e+00  
0.96656622 0.82424636  -1.03183777e+00  
0.96656622 0.89473316  -9.97590057e-01  
