# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.01635317 1.48668706  -5.13509767e-01  
0.01635317 1.56049308  -4.21715016e-01  
0.01635317 1.63343378  -3.34253140e-01  
0.01635317 1.70526684  -2.53089399e-01  
0.01635317 1.77575364  -1.80540828e-01  
0.01635317 1.84466004  -1.18866587e-01  
0.01635317 1.91175714  -6.97201301e-02  
0.01635317 1.97682203  -3.36572061e-02  
0.01635317 2.03963860  -9.90087818e-03  
0.01635317 2.09999816   3.52475078e-03  
0.01635317 2.15770020   9.32702380e-03  
0.01635317 2.21255306   1.03199597e-02  
0.01635317 2.26437450   8.87919344e-03  
0.01635317 2.31299239   6.65091447e-03  
0.01635317 2.35824522   4.54514314e-03  
0.01635317 2.39998267   2.91687639e-03  
0.01635317 2.43806609   1.79871979e-03  
0.01635317 2.47236897   1.08841746e-03  
0.01635317 2.50277737   6.59529374e-04  
0.01635317 2.52919027   4.08223240e-04  
0.01635317 2.55151994   2.63062836e-04  
0.01635317 2.56969223   1.79633298e-04  
0.01635317 2.58364683   1.32017197e-04  
0.01635317 2.59333765   1.05757502e-04  
0.01635317 2.59873467   9.32022001e-05  
0.03030777 0.00126533  -2.65809022e+00  
0.03030777 0.00666235  -2.65788848e+00  
0.03030777 0.01635317  -2.65673582e+00  
0.03030777 0.03030777  -2.65339795e+00  
0.03030777 0.04848006  -2.64398173e+00  
0.03030777 0.07080973  -2.62667473e+00  
0.03030777 0.09722263  -2.59900542e+00  
0.03030777 0.12763103  -2.55939000e+00  
0.03030777 0.16193391  -2.50758735e+00  
0.03030777 0.20001733  -2.44459842e+00  
0.03030777 0.24175478  -2.37211214e+00  
0.03030777 0.28700761  -2.29191159e+00  
0.03030777 0.33562550  -2.20554217e+00  
0.03030777 0.38744694  -2.11426531e+00  
0.03030777 0.44229980  -2.01913087e+00  
0.03030777 0.50000184  -1.92104343e+00  
0.03030777 0.56036140  -1.82079708e+00  
0.03030777 0.62317797  -1.71908016e+00  
0.03030777 0.68824286  -1.61647360e+00  
0.03030777 0.75533996  -1.51345163e+00  
0.03030777 0.82424636  -1.41038604e+00  
0.03030777 0.89473316  -1.30755656e+00  
0.03030777 0.96656622  -1.20516991e+00  
0.03030777 1.03950692  -1.10338437e+00  
0.03030777 1.11331294  -1.00233098e+00  
0.03030777 1.18773913  -9.02127690e-01  
0.03030777 1.26253823  -8.02897346e-01  
0.03030777 1.33746177  -7.04808620e-01  
0.03030777 1.41226087  -6.08155019e-01  
0.03030777 1.48668706  -5.13473777e-01  
0.03030777 1.56049308  -4.21689160e-01  
0.03030777 1.63343378  -3.34235886e-01  
0.03030777 1.70526684  -2.53079205e-01  
0.03030777 1.77575364  -1.80536165e-01  
0.03030777 1.84466004  -1.18865950e-01  
0.03030777 1.91175714  -6.97220825e-02  
0.03030777 1.97682203  -3.36604899e-02  
0.03030777 2.03963860  -9.90452008e-03  
0.03030777 2.09999816   3.52139039e-03  
0.03030777 2.15770020   9.32427362e-03  
0.03030777 2.21255306   1.03179080e-02  
0.03030777 2.26437450   8.87777599e-03  
0.03030777 2.31299239   6.64999622e-03  
0.03030777 2.35824522   4.54457835e-03  
0.03030777 2.39998267   2.91654200e-03  
0.03030777 2.43806609   1.79852631e-03  
0.03030777 2.47236897   1.08830621e-03  
0.03030777 2.50277737   6.59464680e-04  
0.03030777 2.52919027   4.08184500e-04  
0.03030777 2.55151994   2.63038518e-04  
0.03030777 2.56969223   1.79617022e-04  
0.03030777 2.58364683   1.32005419e-04  
0.03030777 2.59333765   1.05748162e-04  
0.03030777 2.59873467   9.31940077e-05  
0.04848006 0.00126533  -2.64838275e+00  
0.04848006 0.00666235  -2.64819311e+00  
0.04848006 0.01635317  -2.64710587e+00  
0.04848006 0.03030777  -2.64398173e+00  
0.04848006 0.04848006  -2.63701026e+00  
0.04848006 0.07080973  -2.62031969e+00  
0.04848006 0.09722263  -2.59330977e+00  
0.04848006 0.12763103  -2.55438207e+00  
0.04848006 0.16193391  -2.50325739e+00  
0.04848006 0.20001733  -2.44090325e+00  
0.04848006 0.24175478  -2.36898961e+00  
0.04848006 0.28700761  -2.28929367e+00  
